Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
K2-133,M1.5 V,3655.00,0.46,0.46,-1.479,4.77,
K2-138,G8 V,5356.30,0.86,0.94,-0.287,4.54,2.800
GJ 667 C,M1.5 V,3350.00,,0.33,-1.863,4.69,2.000
